name,position,team,byeWeek,price
Ja'Marr Chase, WR, CIN,10,78
Lamar Jackson, QB, BAL,7,76
Josh Allen, QB, BUF,7,73
Joe Burrow, QB, CIN,10,69
Jayden Daniels, QB, WAS,12,65
Jalen Hurts, QB, PHI,9,63
Justin Jefferson, WR, MIN,6,62
CeeDee Lamb, WR, DAL,10,59
Patrick Mahomes II, QB, KC,10,58
Baker Mayfield, QB, TB,9,58
Bijan Robinson, RB, ATL,5,55
Jahmyr Gibbs, RB, DET,8,55
Saquon Barkley, RB, PHI,9,54
Puka Nacua, WR, LAR,8,54
Amon-Ra St. Brown, WR, DET,8,53
Malik Nabers, WR, NYG,14,53
Kyler Murray, QB, ARI,8,51
Brock Purdy, QB, SF,14,51
Bo Nix, QB, DEN,12,49
Christian McCaffrey, RB, SF,14,49
Jared Goff, QB, DET,8,48
De'Von Achane, RB, MIA,12,48
Nico Collins, WR, HOU,6,47
Brian Thomas Jr., WR, JAC,8,46
Dak Prescott, QB, DAL,10,45
Justin Herbert, QB, LAC,12,45
J.J. McCarthy, QB, MIN,6,44
Derrick Henry, RB, BAL,7,42
Tyreek Hill, WR, MIA,12,42
Josh Jacobs, RB, GB,5,41
Ashton Jeanty, RB, LV,8,41
Drake London, WR, ATL,5,41
Brock Bowers, TE, LV,8,41
Justin Fields, QB, NYJ,9,40
Caleb Williams, QB, CHI,5,40
Jordan Love, QB, GB,5,40
C.J. Stroud, QB, HOU,6,40
A.J. Brown, WR, PHI,9,40
Ladd McConkey, WR, LAC,12,39
Chase Brown, RB, CIN,10,38
Bucky Irving, RB, TB,9,37
Kyren Williams, RB, LAR,8,37
Trey McBride, TE, ARI,8,37
Matthew Stafford, QB, LAR,8,36
Jonathan Taylor, RB, IND,11,36
Alvin Kamara, RB, NO,11,36
Tee Higgins, WR, CIN,10,36
Trevor Lawrence, QB, JAC,8,35
Tua Tagovailoa, QB, MIA,12,35
Jaxon Smith-Njigba, WR, SEA,8,35
Davante Adams, WR, LAR,8,35
Drake Maye, QB, NE,14,34
Mike Evans, WR, TB,9,34
Terry McLaurin, WR, WAS,12,34
Breece Hall, RB, NYJ,9,33
Michael Penix Jr., QB, ATL,5,32
James Cook, RB, BUF,7,32
Kenneth Walker III, RB, SEA,8,32
Geno Smith, QB, LV,8,31
James Conner, RB, ARI,8,31
